hour,azimuth,Altitude,Right ascension,Declination
0,350 05 12.39,-55 10 39.7,181 09 57.47,00 30 24.6
1,016 16 00.36,-54 30 08.9,181 12 14.14,00 31 23.0
2,038 45 32.00,-48 46 54.3,181 14 30.74,00 32 21.5
3,055 34 35.67,-39 44 37.3,181 16 47.14,00 33 19.9
4,068 11 04.09,-28 54 02.4,181 19 03.23,00 34 18.3
5,078 19 53.84,-17 08 15.9,181 21 18.93,00 35 16.7
6,087 16 13.28,-4 57 14.6,181 23 34.17,00 36 15.2
7,095 54 51.53,07 19 16.6,181 25 48.93,00 37 13.6
8,105 05 07.09,19 23 49.2,181 28 03.21,00 38 12.0
9,115 44 37.13,30 54 41.3,181 30 17.05,00 39 10.5
10,129 12 48.84,41 17 16.3,181 32 30.51,00 40 08.9
11,147 11 11.01,49 30 37.6,181 34 43.70,00 41 07.3
12,170 26 57.36,53 59 12.8,181 36 56.71,00 42 05.8
13,195 51 42.46,53 17 02.2,181 39 09.68,00 43 04.2
14,217 50 45.00,47 39 43.9,181 41 22.74,00 44 02.6
15,234 29 15.37,38 44 44.4,181 43 36.00,00 45 01.0
16,247 03 54.30,27 59 33.6,181 45 49.58,00 45 59.4
17,257 12 51.38,16 16 47.8,181 48 03.56,00 46 57.8
18,266 08 43.69,04 06 33.3,181 50 18.00,00 47 56.2
19,274 45 32.72,-8 11 20.6,181 52 32.94,00 48 54.6
20,283 52 35.43,-20 19 37.4,181 54 48.36,00 49 53.1
21,294 28 28.01,-31 57 04.3,181 57 04.24,00 50 51.5
22,307 56 26.11,-42 29 37.6,181 59 20.49,00 51 49.9
23,326 08 46.88,-50 55 41.3,182 01 37.04,00 52 48.3
