hour,azimuth,Altitude,Right ascension,Declination
0,350 21 18.31,-57 09 52.1,185 40 09.35,-2 27 12.4
1,017 48 58.84,-56 17 24.1,185 42 26.69,-2 28 10.7
2,040 53 21.36,-50 12 55.5,185 44 43.96,-2 29 09.0
3,057 43 50.30,-40 52 15.8,185 47 01.02,-2 30 07.4
4,070 12 33.11,-29 49 31.2,185 49 17.78,-2 31 05.7
5,080 14 23.80,-17 56 55.4,185 51 34.15,-2 32 04.1
6,089 06 59.86,-5 43 17.5,185 53 50.05,-2 33 02.5
7,097 45 31.09,06 32 11.1,185 56 05.48,-2 34 00.8
8,106 58 59.19,18 31 58.7,185 58 20.42,-2 34 59.2
9,117 43 50.53,29 53 46.6,186 00 34.93,-2 35 57.6
10,131 15 17.70,40 02 05.8,186 02 49.07,-2 36 55.9
11,149 02 32.27,47 56 21.4,186 05 02.93,-2 37 54.2
12,171 33 41.52,52 06 38.7,186 07 16.62,-2 38 52.5
13,195 49 19.82,51 17 33.0,186 09 30.28,-2 39 50.8
14,216 57 54.70,45 45 51.8,186 11 44.04,-2 40 49.1
15,233 15 15.83,37 00 29.9,186 13 58.00,-2 41 47.4
16,245 43 59.29,26 23 31.4,186 16 12.29,-2 42 45.6
17,255 52 00.32,14 46 12.6,186 18 26.98,-2 43 43.8
18,264 47 39.47,02 38 40.3,186 20 42.15,-2 44 42.0
19,273 23 32.63,-9 39 08.7,186 22 57.81,-2 45 40.3
20,282 28 56.07,-21 50 03.3,186 25 13.96,-2 46 38.5
21,293 04 04.56,-33 33 09.4,186 27 30.56,-2 47 36.7
22,306 37 54.61,-44 14 33.3,186 29 47.54,-2 48 34.9
23,325 17 37.17,-52 50 53.0,186 32 04.82,-2 49 33.1
