hour,azimuth,Altitude,Right ascension,Declination
0,350 11 43.27,-55 58 23.3,182 57 52.81,-1 17 08.9
1,016 52 28.10,-55 13 10.2,183 00 09.71,-1 18 07.3
2,039 35 59.36,-49 21 31.7,183 02 26.54,-1 19 05.7
3,056 25 56.71,-40 11 52.3,183 04 43.17,-1 20 04.1
4,068 59 32.00,-29 16 20.6,183 06 59.50,-1 21 02.6
5,079 05 41.54,-17 27 44.6,183 09 15.42,-1 22 01.0
6,088 00 36.59,-5 15 35.0,183 11 30.90,-1 22 59.5
7,096 39 16.82,07 00 36.6,183 13 45.89,-1 23 57.9
8,105 50 55.96,19 03 20.1,183 16 00.40,-1 24 56.4
9,116 32 45.32,30 30 38.6,183 18 14.48,-1 25 54.8
10,130 02 32.90,40 47 32.6,183 20 28.18,-1 26 53.3
11,147 56 48.26,48 53 10.9,183 22 41.60,-1 27 51.7
12,170 54 37.74,53 14 15.3,183 24 54.85,-1 28 50.1
13,195 50 59.06,52 29 10.7,183 27 08.06,-1 29 48.5
14,217 29 21.33,46 54 07.5,183 29 21.36,-1 30 47.0
15,233 59 22.31,38 03 00.3,183 31 34.87,-1 31 45.3
16,246 31 45.61,27 21 05.5,183 33 48.69,-1 32 43.7
17,256 40 27.14,15 40 28.1,183 36 02.92,-1 33 42.1
18,265 36 20.47,03 31 15.7,183 38 17.61,-1 34 40.5
19,274 12 53.66,-8 46 39.3,183 40 32.80,-1 35 38.9
20,283 19 24.70,-20 56 01.9,183 42 48.48,-1 36 37.2
21,293 55 10.59,-32 35 46.0,183 45 04.62,-1 37 35.6
22,307 25 42.75,-43 11 50.5,183 47 21.13,-1 38 34.0
23,325 49 03.37,-51 41 55.2,183 49 37.94,-1 39 32.4
