hour,azimuth,Altitude,Right ascension,Declination
0,350 36 16.56,-59 08 15.3,190 11 54.70,-4 23 25.3
1,019 27 47.52,-58 03 16.1,190 14 12.93,-4 24 23.1
2,043 06 17.79,-51 36 53.3,190 16 31.08,-4 25 21.0
3,059 55 22.57,-41 58 09.4,190 18 49.02,-4 26 18.8
4,072 14 32.57,-30 44 00.8,190 21 06.66,-4 27 16.7
5,082 08 25.07,-18 45 25.9,190 23 23.91,-4 28 14.6
6,090 56 37.59,-6 29 58.9,190 25 40.69,-4 29 12.5
7,099 34 21.56,05 43 43.5,190 27 57.00,-4 30 10.4
8,108 50 06.08,17 38 07.3,190 30 12.83,-4 31 08.3
9,119 38 47.56,28 50 22.7,190 32 28.22,-4 32 06.1
10,133 11 06.44,38 44 22.3,190 34 43.24,-4 33 04.0
11,150 44 41.31,46 20 19.4,190 36 57.99,-4 34 01.8
12,172 32 19.70,50 13 58.3,190 39 12.58,-4 34 59.6
13,195 44 52.91,49 19 04.8,190 41 27.14,-4 35 57.3
14,216 06 58.52,43 53 00.7,190 43 41.79,-4 36 55.0
15,232 03 33.70,35 17 07.7,190 45 56.67,-4 37 52.7
16,244 25 34.74,24 48 28.4,190 48 11.87,-4 38 50.4
17,254 31 46.57,13 16 55.0,190 50 27.49,-4 39 48.0
18,263 26 22.25,01 12 29.0,190 52 43.58,-4 40 45.6
19,272 00 25.85,-11 04 49.6,190 55 00.17,-4 41 43.3
20,281 03 01.94,-23 17 58.5,190 57 17.26,-4 42 40.9
21,291 35 50.29,-35 06 29.0,190 59 34.80,-4 43 38.5
22,305 13 28.16,-45 56 50.8,191 01 52.74,-4 44 36.1
23,324 19 43.56,-54 44 12.8,191 04 10.96,-4 45 33.7
